Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,387.9931,NA,16.50570000000000,NA,0.15750000000000,0.00000000000000,NA,371.7256,16.4250,16.2675,0.1575,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,404.6473,NA,16.65420000000000,NA,0.15500000000000,0.00000000000000,NA,388.1506,16.6517,16.4967,0.1550,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,421.3014,NA,16.65410000000000,NA,0.12170000000000,0.00000000000000,NA,404.8023,16.6208,16.4991,0.1217,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,438.0235,NA,16.72210000000000,NA,0.33220000000000,0.00000000000000,NA,421.4231,16.9326,16.6004,0.3322,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,454.6256,NA,16.60210000000000,NA,0.16430000000000,0.00000000000000,NA,438.3557,16.4342,16.2699,0.1643,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,471.3249,NA,16.69930000000000,NA,0.14860000000000,0.00000000000000,NA,454.7899,16.6836,16.5350,0.1486,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,487.9887,NA,16.66380000000000,NA,0.12270000000000,0.00000000000000,NA,471.4735,16.6379,16.5152,0.1227,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,504.8799,NA,16.89120000000000,NA,0.12860000000000,0.00000000000000,NA,488.1114,16.8971,16.7685,0.1286,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,521.2814,NA,16.40150000000000,NA,0.16090000000000,0.00000000000000,NA,505.0085,16.4338,16.2729,0.1609,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,537.9845,NA,16.70310000000000,NA,0.16120000000000,0.00000000000000,NA,521.4423,16.7034,16.5422,0.1612,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,554.6136,NA,16.62910000000000,NA,0.13590000000000,0.00000000000000,NA,538.1457,16.6038,16.4679,0.1359,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,571.6194,NA,17.00580000000000,NA,0.24620000000000,0.00000000000000,NA,554.7495,17.1161,16.8699,0.2462,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,587.9701,NA,16.35070000000000,NA,0.13710000000000,0.00000000000000,NA,571.8656,16.2416,16.1045,0.1371,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,604.6428,NA,16.67270000000000,NA,0.15300000000000,0.00000000000000,NA,588.1072,16.6886,16.5356,0.1530,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,621.3039,NA,16.66110000000000,NA,0.13880000000000,0.00000000000000,NA,604.7958,16.6469,16.5081,0.1388,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
